a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,3.0,0.5,4.0,-4.3470154242334917e-29,5.129239081202152e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,0.5,4.0,3.505384783630417e-26,0.6203175229988641,1.2885953720045848,-5.593070965267443,0.0,12.601158018973939,0.0
0.1,3.0,1.0,3.0,0.5,4.0,1.1662085912955766,1.4401623993460156e-31,0.8299946901985483,6.84043773323512,0.0,-12.059757745551241,0.0
0.1,3.0,1.0,3.0,0.5,4.0,1.3447043533392395e-19,-1.832989281291648,3.519887278997554,-46.7272704419888,0.0,82.38780783321921,0.0
0.1,3.0,1.0,3.0,0.5,4.0,1.861064413879184,0.888284434146481,1.1588418328842665,48.9290621964291,0.0,12.641544747820586,0.0
0.1,3.0,1.0,3.0,0.5,6.0,-6.729355707496984e-29,5.07495070908478e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,0.5,6.0,1.6979543098172926e-22,0.6606513798343442,1.2182301228385115,-5.944708339676976,0.0,11.858000504577687,0.0
0.1,3.0,1.0,3.0,0.5,6.0,1.1828046075997962,1.6899161612026972e-27,0.8834144383533911,7.0944651390028435,0.0,-11.814016446548173,0.0
0.1,3.0,1.0,3.0,0.5,6.0,1.876493935149822,0.9109967169769412,1.1215217184502104,47.87867977715146,0.0,11.85338912885531,0.0
0.1,3.0,1.0,3.0,0.5,8.0,-8.107549370141167e-29,5.0479477044762255e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,0.5,8.0,7.129964069257517e-21,0.6840537753671422,1.1754735878477653,-6.163978333205462,0.0,11.449960473267264,0.0
0.1,3.0,1.0,3.0,0.5,8.0,1.1915407628117578,3.566813304440185e-29,0.9112644131598734,7.226115502347788,0.0,-11.679420724912273,0.0
0.1,3.0,1.0,3.0,0.5,8.0,1.885908998011505,0.9247379725129833,1.0983868223789863,47.55885128691895,0.0,11.39884401621998,0.0
0.1,3.0,1.0,3.0,0.5,10.0,-8.99435494731676e-29,5.03179138940304e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,0.5,10.0,-1.0067829785354281e-19,0.6993236796618852,1.1467160826807516,-6.313085654269633,0.0,11.194027151605843,0.0
0.1,3.0,1.0,3.0,0.5,10.0,1.196930638887064,1.3162593996651772e-30,0.9283678522846702,7.306675099151204,0.0,-11.594555047519925,0.0
0.1,3.0,1.0,3.0,0.5,10.0,1.8922454810586313,0.9339396991564586,1.0826433604687964,47.44926887331872,0.0,11.105579137524188,0.0
0.1,3.0,1.0,3.0,0.5,12.0,-9.610458431893468e-29,5.021038327796359e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,0.5,12.0,-3.262787456435816e-18,0.7100646385799391,1.1260479477404148,-6.420824080905226,0.0,11.019280744805252,0.0
0.1,3.0,1.0,3.0,0.5,12.0,1.2005876331066279,1.4661714510807446e-21,0.9399412223013094,7.361056183891925,0.0,-11.536175256584905,0.0
