a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
0.1,4.5,3.0,5.0,1.0,8.0,2.4558657463969167e-27,3.3980119444462644e-18,1.0,-4.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,1.0,8.0,-4.0034564722221514e-23,0.4938606134207713,1.1524364409302128,-7.985564429687796,0.0,9.99291743715418,0.0,True
0.1,4.5,3.0,5.0,1.0,8.0,1.1909049787341521,-7.395385002075616e-20,0.5567954161331903,14.278137813745026,0.0,-19.86668413285202,0.0,True
0.1,4.5,3.0,5.0,1.0,8.0,-7.474299304788043e-25,-1.6079653733253536,2.61597040113334,-55.71086151269715,0.0,63.45010907141911,0.0,True
0.1,4.5,3.0,5.0,1.0,10.0,2.411482305642524e-27,1.5296999498401827e-18,1.0,-4.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,1.0,10.0,-7.830552833890378e-25,0.5123140996718911,1.1312328683613102,-7.995375684323751,0.0,9.690659669688154,0.0,True
0.1,4.5,3.0,5.0,1.0,10.0,1.2258985336173431,-6.254930340089328e-23,0.6242931963187119,15.469374308591044,0.0,-19.96282923129297,0.0,True
0.1,4.5,3.0,5.0,1.0,12.0,1.6002929390182643e-27,8.855790920478283e-19,1.0,-4.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,1.0,12.0,2.068659101678547e-17,0.5259785668241679,1.115272271982669,-8.007450804845664,0.0,9.472038170147396,0.0,True
0.1,4.5,3.0,5.0,1.0,12.0,1.251752044011361,-4.5330449249701975e-22,0.6735660042319541,16.328396863748328,0.0,-20.017810790881725,0.0,True
0.1,4.5,3.0,5.0,3.0,8.0,7.324009207503389e-28,7.294920297765871e-19,1.0,-6.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,3.0,8.0,-8.070274252351654e-24,0.49386061342077126,1.1524364409302128,-10.641783930455587,0.0,9.99291743715418,0.0,True
0.1,4.5,3.0,5.0,3.0,8.0,1.10547996979548,9.624105213063833e-24,0.31257664546430386,12.531607365514091,0.0,-19.780682090722653,0.0,True
0.1,4.5,3.0,5.0,3.0,10.0,3.192872624905755e-28,3.83569660024977e-19,1.0,-6.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,3.0,10.0,-1.6504153428581398e-25,0.5123140996718912,1.1312328683613102,-10.554751289245667,0.0,9.690659669688161,0.0,True
0.1,4.5,3.0,5.0,3.0,10.0,1.1561054990975517,-5.624302905671617e-18,0.39853903373038047,14.807020729730903,0.0,-20.144825754471327,0.0,True
0.1,4.5,3.0,5.0,3.0,12.0,1.8014493883617113e-28,2.525829119966915e-19,1.0,-6.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,3.0,12.0,9.846231924961658e-18,0.5259785668241679,1.115272271982669,-10.495115286152432,0.0,9.472038170147396,0.0,True
0.1,4.5,3.0,5.0,3.0,12.0,1.1963564422315407,4.4457810369713406e-23,0.4632742236741588,16.506464940801905,0.0,-20.41980707907865,0.0,True
0.1,4.5,3.0,5.0,5.0,8.0,5.656631987772737e-29,1.3538938614244348e-19,1.0,-8.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,5.0,8.0,-1.8041777439211038e-24,0.4938606134207713,1.1524364409302128,-13.298003431223378,0.0,9.99291743715418,0.0,True
0.1,4.5,3.0,5.0,5.0,8.0,1.0309930859798497,1.0145832400130148e-17,0.13635577103766883,9.029855505223725,0.0,-19.2452739670524,0.0,True
0.1,4.5,3.0,5.0,5.0,8.0,2.358378562248737e-25,-1.6079653733253534,2.61597040113334,-83.08406607112005,0.0,63.450109071419085,0.0,True
0.1,4.5,3.0,5.0,5.0,10.0,2.8237039935226687e-29,9.203614099578752e-20,1.0,-8.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,5.0,10.0,-3.454281388114068e-26,0.5123140996718912,1.1312328683613102,-13.114126894167583,0.0,9.690659669688161,0.0,True
0.1,4.5,3.0,5.0,5.0,10.0,1.0838594224983875,-1.1607043226146804e-24,0.23641168896995024,12.49532259364898,0.0,-19.712842365862326,0.0,True
0.1,4.5,3.0,5.0,5.0,12.0,1.7804319556198564e-29,7.304441017369385e-20,1.0,-8.0,0.0,-8.12,0.0,False
0.1,4.5,3.0,5.0,5.0,12.0,2.6330312814517382e-18,0.525978566824168,1.115272271982669,-12.982779767459203,0.0,9.4720381701474,0.0,True
0.1,4.5,3.0,5.0,5.0,12.0,1.1303077758925109,-2.1900366851087904e-20,0.30796901303500135,14.992717512646424,0.0,-20.119710094273223,0.0,True
0.1,4.5,3.0,7.0,1.0,8.0,-2.9588585002182e-18,0.3476502122487061,1.105753086316999,-6.215392495637488,0.0,7.835401229014984,0.0,True
0.1,4.5,3.0,7.0,1.0,8.0,1.190904978734152,-2.807808870487795e-23,0.5567954161331903,14.278137813745015,0.0,-19.246641861998146,0.0,True
0.1,4.5,3.0,7.0,1.0,8.0,-9.279630010137028e-29,3.0691850004248188e-21,1.0,-4.0,0.0,-6.119999999999999,0.0,False
0.1,4.5,3.0,7.0,1.0,8.0,4.392785656354706e-18,-1.0466728820401572,1.9585836067484677,-27.351143355596154,0.0,38.836703648143455,0.0,True
0.1,4.5,3.0,7.0,1.0,8.0,2.6863361218073747,1.947298127913084,2.0628481993123624,458.5361820077127,0.0,45.83736860946996,0.0,True
0.1,4.5,3.0,7.0,1.0,10.0,1.6872844927576353e-23,0.3633133993182768,1.0923976382869411,-6.220013422860798,0.0,7.5928507307982676,0.0,True
0.1,4.5,3.0,7.0,1.0,10.0,1.2258985336173431,5.076950256514919e-18,0.6242931963187119,15.469374308591044,0.0,-19.183345241353305,0.0,True
0.1,4.5,3.0,7.0,1.0,10.0,-1.4002634656373687e-29,6.965483137396276e-22,1.0,-4.0,0.0,-6.119999999999998,0.0,False
0.1,4.5,3.0,7.0,1.0,10.0,2.8347124983438143e-25,-1.2183580519353372,2.039077439900969,-32.9003311398161,0.0,43.340404606947764,0.0,True
0.1,4.5,3.0,7.0,1.0,10.0,2.7526131941683274,2.062474472152136,2.083440814618072,448.6660736878721,0.0,46.11724997324811,0.0,True
0.1,4.5,3.0,7.0,1.0,12.0,-2.348991117476607e-24,-1.3809945916235795,2.1125018695545865,-38.7529774360321,0.0,47.685894778775676,0.0,True
0.1,4.5,3.0,7.0,1.0,12.0,-7.833830057913505e-26,0.3752257558021022,1.082130047893401,-6.227128033492254,0.0,7.411472910614034,0.0,True
0.1,4.5,3.0,7.0,1.0,12.0,1.251752044011361,3.45219621180482e-23,0.6735660042319541,16.328396863748328,0.0,-19.110428466767726,0.0,True
0.1,4.5,3.0,7.0,1.0,12.0,-3.6110046697938115e-30,2.385583250980625e-22,1.0,-4.0,0.0,-6.12,0.0,False
0.1,4.5,3.0,7.0,1.0,12.0,2.8172224671676274,2.1746134387779086,2.1050624319174354,449.8090662770519,0.0,46.504755635035224,0.0,True
0.1,4.5,3.0,7.0,3.0,8.0,2.1459446313599602e-23,0.3476502122487058,1.1057530863169989,-8.66077227143662,0.0,7.835401229014966,0.0,True
0.1,4.5,3.0,7.0,3.0,8.0,1.10547996979548,-2.176722227641598e-19,0.31257664546430386,12.531607365514091,0.0,-19.58527377214322,0.0,True
0.1,4.5,3.0,7.0,3.0,8.0,-6.769047558100871e-23,-1.0466728820401574,1.958583606748468,-35.023242844843836,0.0,38.83670364814349,0.0,True
0.1,4.5,3.0,7.0,3.0,8.0,-7.770667509828274e-29,7.620145644439295e-23,1.0,-6.0,0.0,-6.119999999999999,0.0,False
0.1,4.5,3.0,7.0,3.0,10.0,-2.783914350156604e-19,0.36331339931827694,1.0923976382869411,-8.606678623130572,0.0,7.5928507307982755,0.0,True
0.1,4.5,3.0,7.0,3.0,10.0,1.1561054990975517,-3.4058842481853257e-19,0.39853903373038047,14.807020729730903,0.0,-19.827159031657835,0.0,True
0.1,4.5,3.0,7.0,3.0,10.0,-1.1058068628264443e-28,1.1199192015089974e-21,1.0,-6.0,0.0,-6.119999999999998,0.0,False
0.1,4.5,3.0,7.0,3.0,12.0,-2.6227998072981624e-26,-1.3809945916235797,2.1125018695545874,-47.67830573377537,0.0,47.68589477877573,0.0,True
0.1,4.5,3.0,7.0,3.0,12.0,-1.5742992018192542e-26,0.37522575580210216,1.082130047893401,-8.569138914599801,0.0,7.41147291061403,0.0,True
0.1,4.5,3.0,7.0,3.0,12.0,1.1963564422315407,-1.1064371836746486e-22,0.4632742236741588,16.506464940801905,0.0,-19.990561066436864,0.0,True
0.1,4.5,3.0,7.0,3.0,12.0,6.715084470312577e-27,-3.112225845376635e-25,1.0,-6.0,0.0,-6.12,0.0,False
