a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
0.02,3.0,1.0,3.0,0.5,6.0,-9.939987753717108e-31,4.838248557130624e-24,1.0,-1.5,0.0,-10.12,0.0,False
0.02,3.0,1.0,3.0,0.5,6.0,1.8093212747953258e-23,0.6606513798343443,1.2182301228385115,-7.009731240906875,0.0,11.858000215658079,0.0,True
0.02,3.0,1.0,3.0,0.5,6.0,1.1999196240216379,-1.1624110801906524e-26,0.7600321493146285,8.042514883390679,0.0,-19.809924955081097,0.0,True
0.02,3.0,1.0,3.0,0.5,8.0,-9.607817500457227e-31,4.817225019576031e-24,1.0,-1.5,0.0,-10.12,0.0,False
0.02,3.0,1.0,3.0,0.5,8.0,-2.9645377672076243e-22,0.6840537753671422,1.1754735878477653,-7.201115294422233,0.0,11.449960347376097,0.0,True
0.02,3.0,1.0,3.0,0.5,8.0,1.2211379545674348,-1.0677525833666686e-20,0.8136027619893577,8.395292218983963,0.0,-19.857542375947926,0.0,True
0.02,3.0,1.0,3.0,0.5,10.0,-9.410782077767876e-31,4.804638990352263e-24,1.0,-1.5,0.0,-10.12,0.0,False
0.02,3.0,1.0,3.0,0.5,10.0,-1.122423862146107e-19,0.6993236796618852,1.1467160826807516,-7.33246421535483,0.0,11.19402697633918,0.0,True
0.02,3.0,1.0,3.0,0.5,10.0,1.2346945952974522,-1.5408533547401247e-22,0.847552925634326,8.61669363582585,0.0,-19.88311596513801,0.0,True
0.02,3.0,1.0,3.0,0.5,12.0,-9.280379317256016e-31,4.796260202855071e-24,1.0,-1.5,0.0,-10.12,0.0,False
0.02,3.0,1.0,3.0,0.5,12.0,-2.281260525049528e-18,0.7100646385799394,1.126047947740415,-7.427917999855395,0.0,11.019280452608637,0.0,True
0.02,3.0,1.0,3.0,0.5,12.0,1.2441038312548247,3.0818629973406144e-19,0.8710171380880889,8.768666168360532,0.0,-19.898584341686664,0.0,True
0.02,3.0,1.0,3.0,0.5,14.0,-9.187656322863154e-31,4.7902811302315614e-24,1.0,-1.5,0.0,-10.12,0.0,False
0.02,3.0,1.0,3.0,0.5,14.0,-1.8134206122744896e-17,0.7180272206142919,1.1104778049020896,-7.500312894162458,0.0,10.892714937796397,0.0,True
0.02,3.0,1.0,3.0,0.5,14.0,1.2510162899214223,-3.019906285640356e-25,0.8882113030250885,8.879466210953577,0.0,-19.908736325780673,0.0,True
0.02,3.0,1.0,3.0,0.5,14.0,7.115498801187339,-8.198849615606315,11.78807727630607,4374.230869674311,0.0,804.3713764435599,0.0,True
0.02,3.0,1.0,3.0,1.0,6.0,-1.651802780984517e-31,4.817359421752758e-24,1.0,-2.0,0.0,-10.12,0.0,False
0.02,3.0,1.0,3.0,1.0,6.0,1.1900111905665524e-23,0.6606513798343444,1.2182301228385115,-7.751773557002445,0.0,11.858000215658084,0.0,True
0.02,3.0,1.0,3.0,1.0,6.0,1.1934394593619604,1.0294467180191845e-23,0.6439255642094579,8.623285839958886,0.0,-20.208221400771276,0.0,True
