a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,max_real,unstable
0.1,4.5,5.0,5.0,5.0,8.0,1.0058302471707552,1.8843205214196583e-22,0.05153641925914132,6.59338617177406,0.0,-19.02513273127269,0.0,6.59338617177406,True
0.1,4.5,5.0,7.0,5.0,8.0,1.0058302471707552,4.7216117618864294e-21,0.05153641925914132,6.59338617177406,0.0,-19.019820726252583,0.0,6.59338617177406,True
0.1,4.5,5.0,9.0,5.0,8.0,1.0058302471707552,5.629143237036502e-20,0.05153641925914132,6.59338617177406,0.0,-19.014508721232474,0.0,6.59338617177406,True
0.1,5.0,5.0,5.0,5.0,8.0,1.0054132767302353,2.7730491346488604e-23,0.052322634038660665,7.125855377785236,0.0,-19.01981847343504,0.0,7.125855377785236,True
0.1,5.0,5.0,7.0,5.0,8.0,1.0054132767302353,1.277479380918087e-21,0.052322634038660665,7.125855377785236,0.0,-19.014343157369552,0.0,7.125855377785236,True
