mu,a,rc,beta,delta,eta,rd,ku,eps_u,umax,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,eig3_real,eig3_imag,unstable
1.0,0.1,5.0,7.0,5.0,3.0,9.0,0.2,0.001,0.5,0.0,0.0,-1.0445119787436788e-19,-0.5,0.0,13.12,0.0,9.0,0.0,True
1.0,0.1,5.0,7.0,5.0,3.0,11.0,0.2,0.001,0.5,-6.210922787858488e-23,0.0,9.048782367897591e-23,-0.5,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,5.0,7.0,5.0,3.0,11.0,0.2,0.001,0.5,0.9825846001981331,-1.0467005338546064e-22,-0.08766573923552268,-4.42506051332583,0.0,6.827625884579399,0.0,7.510412304381381,0.0,True
1.0,0.1,5.0,7.0,5.0,5.0,9.0,0.2,0.001,0.5,-4.9426868877527716e-26,1.0,7.727050338820855e-26,-11.46,0.0,13.999999999999998,0.0,-13.120000000000001,0.0,True
1.0,0.1,5.0,7.0,5.0,5.0,9.0,0.2,0.001,0.5,-1.9721522630525295e-31,-1.88079096131566e-37,1.0,-12.5,0.0,-9.0,0.0,18.119999999999997,0.0,True
1.0,0.1,5.0,7.0,5.0,5.0,9.0,0.2,0.001,0.5,0.0,0.0,-1.0445119787436788e-19,-0.5,0.0,13.12,0.0,9.0,0.0,True
1.0,0.1,5.0,7.0,5.0,5.0,11.0,0.2,0.001,0.5,-1.2971347149632207e-22,0.0,1.8897603484498813e-22,-0.5,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,5.0,7.0,5.0,5.0,11.0,0.2,0.001,0.5,-2.908056841006738e-25,1.0,6.426250260547615e-25,-11.46,0.0,15.999999999999998,0.0,-13.12,0.0,True
1.0,0.1,5.0,7.0,5.0,5.0,11.0,0.2,0.001,0.5,-1.3165299095914357e-18,1.5661315640367012e-28,1.0,-12.5,0.0,-11.0,0.0,18.119999999999997,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,9.0,0.2,0.001,0.5,-1.8773768730685943e-22,4.4835698409141427e-26,1.0,-10.5,0.0,-8.999999999999996,0.0,20.11999999999999,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,9.0,0.2,0.001,0.5,-1.437620113674772e-26,1.0,2.530665783949006e-26,-11.46,0.0,15.999999999999998,0.0,-13.12,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,9.0,0.2,0.001,0.5,0.9650159630306915,1.0807394401527862e-28,-0.12300762258841459,-4.38926989349725,0.0,5.54527404984064,0.0,7.778069644415265,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,9.0,0.2,0.001,0.5,0.0,-1.5146129380243427e-28,0.0,-0.5,0.0,13.12,0.0,9.0,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,11.0,0.2,0.001,0.5,-2.545307042349908e-25,0.0,3.710296827180298e-25,-0.5,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,11.0,0.2,0.001,0.5,-3.470887008776584e-24,1.0,-1.739502667062197e-22,-11.46,0.0,18.0,0.0,-13.119999999999996,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,11.0,0.2,0.001,0.5,0.0,-9.62964972193618e-35,1.0,-11.0,0.0,20.119999999999997,0.0,-10.5,0.0,True
1.0,0.1,5.0,7.0,7.0,3.0,11.0,0.2,0.001,0.5,0.9825846001981331,2.6269068143859693e-27,-0.0876657392355227,-4.42506051332583,0.0,6.827625884579399,0.0,7.5257828680528025,0.0,True
1.0,0.1,5.0,7.0,7.0,5.0,9.0,0.2,0.001,0.5,-4.226779839046599e-25,0.0,7.348901975294111e-25,-0.5,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,5.0,7.0,7.0,5.0,9.0,0.2,0.001,0.5,1.9469870296717726e-19,1.0,1.4059220776191225e-18,-11.46,0.0,16.000000000000004,0.0,-13.120000000000001,0.0,True
1.0,0.1,5.0,7.0,7.0,5.0,11.0,0.2,0.001,0.5,2.554503303589323e-19,-7.79013174625726e-21,1.0,-12.5,0.0,-11.0,0.0,20.119999999999997,0.0,True
1.0,0.1,5.0,7.0,7.0,5.0,11.0,0.2,0.001,0.5,-4.541314459176321e-26,1.0,4.6044233315940017e-26,-11.46,0.0,18.000000000000004,0.0,-13.120000000000001,0.0,True
1.0,0.1,5.0,7.0,7.0,5.0,11.0,0.2,0.001,0.5,0.9637029737716465,2.1108192190484105e-30,-0.11429102015705422,-4.4777521135408715,0.0,6.111137612098299,0.0,7.778405044330339,0.0,True
1.0,0.1,5.0,7.0,7.0,5.0,11.0,0.2,0.001,0.5,0.0,-2.9582283945787943e-31,0.0,-0.5,0.0,13.12,0.0,11.0,0.0,True
1.0,0.1,6.0,5.0,5.0,3.0,9.0,0.2,0.001,0.5,-1.2729888282066577e-19,0.0,2.213763310848237e-19,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,5.0,3.0,9.0,0.2,0.001,0.5,6.421298082085451e-21,1.0,-1.5880523592522733e-20,-11.56,0.0,13.999999999999998,0.0,-13.120000000000001,0.0,True
1.0,0.1,6.0,5.0,5.0,3.0,9.0,0.2,0.001,0.5,0.982651803561508,-3.806240892507213e-20,-0.10716488536937221,-5.28122514482838,0.0,5.797615061736051,0.0,7.528634846081447,0.0,True
1.0,0.1,6.0,5.0,5.0,3.0,11.0,0.2,0.001,0.5,-1.2783720937837586e-21,0.0,1.8625716325736022e-21,-0.6000000000000001,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,5.0,3.0,11.0,0.2,0.001,0.5,0.9910500453743515,4.758974403478263e-19,-0.07733785041273057,-5.32736333899092,0.0,7.381572979902889,0.0,7.404151589778759,0.0,True
1.0,0.1,6.0,5.0,5.0,3.0,11.0,0.2,0.001,0.5,3.944304526105059e-30,-3.4666738998970245e-33,1.0,-8.6,0.0,-11.0,0.0,18.119999999999997,0.0,True
1.0,0.1,6.0,5.0,5.0,5.0,9.0,0.2,0.001,0.5,-8.551252212595768e-27,9.956824444577827e-60,1.4862139454363862e-26,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,5.0,5.0,9.0,0.2,0.001,0.5,2.176259200369024e-20,1.0,5.025142900774957e-20,-11.56,0.0,14.000000000000004,0.0,-13.120000000000003,0.0,True
1.0,0.1,6.0,5.0,5.0,5.0,9.0,0.2,0.001,0.5,-6.431613605935355e-20,1.766693440287717e-26,1.0,-10.6,0.0,-8.999999999999996,0.0,18.11999999999999,0.0,True
1.0,0.1,6.0,5.0,5.0,5.0,11.0,0.2,0.001,0.5,-9.006009698527783e-23,0.0,1.3121071687265707e-22,-0.6000000000000001,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,5.0,5.0,11.0,0.2,0.001,0.5,6.492325249968927e-28,1.0,6.563322731438818e-28,-11.56,0.0,15.999999999999998,0.0,-13.12,0.0,True
1.0,0.1,6.0,5.0,5.0,5.0,11.0,0.2,0.001,0.5,7.154021777268312e-25,-1.1567856314160917e-26,1.0,-10.6,0.0,-11.0,0.0,18.119999999999997,0.0,True
1.0,0.1,6.0,5.0,7.0,3.0,9.0,0.2,0.001,0.5,-4.8725073982436095e-21,0.0,8.467395566307854e-21,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,7.0,3.0,9.0,0.2,0.001,0.5,1.6779487972608878e-21,-1.117663179226923e-22,1.0,-8.6,0.0,-9.0,0.0,20.119999999999997,0.0,True
