a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
0.05,4.5,3.0,5.0,1.0,8.0,2.9462267695373508e-27,3.3523036240072034e-18,1.0,-4.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,1.0,8.0,-1.968445247886715e-23,0.49386061342077126,1.1524364409302128,-7.985564429687795,0.0,9.99291743715418,0.0,True
0.05,4.5,3.0,5.0,1.0,8.0,1.1918671422853302,1.6652692816931863e-19,0.5560789734814376,14.161153231375868,0.0,-19.88408249268664,0.0,True
0.05,4.5,3.0,5.0,1.0,8.0,1.9341291674208767e-25,-1.6079653733253536,2.61597040113334,-55.71086151269715,0.0,63.45010907141911,0.0,True
0.05,4.5,3.0,5.0,1.0,10.0,1.4504482708111486e-27,1.5142055774220544e-18,1.0,-4.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,1.0,10.0,-3.8626633388714735e-25,0.5123140996718911,1.1312328683613102,-7.995375684323751,0.0,9.690659669688154,0.0,True
0.05,4.5,3.0,5.0,1.0,10.0,1.2272181027948765,-8.734413080687652e-26,0.623483932043136,15.330188309286344,0.0,-19.98681492261077,0.0,True
0.05,4.5,3.0,5.0,1.0,12.0,8.180645513397332e-28,8.782655681995922e-19,1.0,-4.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,1.0,12.0,2.1870827449469463e-17,0.5259785668241677,1.1152722719826689,-8.00745080484566,0.0,9.472038170147385,0.0,True
0.05,4.5,3.0,5.0,1.0,12.0,1.2533726328019306,-6.76951999111979e-22,0.6727202173631577,16.1729848675116,0.0,-20.047253842196863,0.0,True
0.05,4.5,3.0,5.0,3.0,8.0,1.868883899434486e-28,7.260434427170196e-19,1.0,-6.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,3.0,8.0,-3.922516187902855e-24,0.49386061342077126,1.1524364409302128,-10.641783930455587,0.0,9.99291743715418,0.0,True
0.05,4.5,3.0,5.0,3.0,8.0,1.1057671023005222,9.809618279485812e-24,0.3122195024518223,12.466025092965063,0.0,-19.785512085944728,0.0,True
0.05,4.5,3.0,5.0,3.0,10.0,8.798736136379472e-29,3.826625175428191e-19,1.0,-6.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,3.0,10.0,-8.074903485358718e-26,0.5123140996718911,1.1312328683613102,-10.554751289245665,0.0,9.690659669688154,0.0,True
0.05,4.5,3.0,5.0,3.0,10.0,1.1566887968972526,-4.3662548721828336e-18,0.39793196220957383,14.70679900131644,0.0,-20.155135258535733,0.0,True
0.05,4.5,3.0,5.0,3.0,12.0,5.043976820576144e-29,2.522954376532609e-19,1.0,-6.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,3.0,12.0,1.0641985050911652e-17,0.5259785668241678,1.1152722719826689,-10.49511528615243,0.0,9.472038170147393,0.0,True
0.05,4.5,3.0,5.0,3.0,12.0,1.1972443004389597,5.7755279717312126e-24,0.4624772818999098,16.378276308865736,0.0,-20.435928220993762,0.0,True
0.05,4.5,3.0,5.0,5.0,8.0,1.4738425659197447e-29,1.3557135779926948e-19,1.0,-8.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,5.0,8.0,-8.7155561619352e-25,0.49386061342077126,1.1524364409302128,-13.298003431223378,0.0,9.99291743715418,0.0,True
0.05,4.5,3.0,5.0,5.0,8.0,1.0310229013590382,1.196280885506285e-17,0.13630581870946767,9.011839934951142,0.0,-19.245701724221544,0.0,True
0.05,4.5,3.0,5.0,5.0,8.0,-1.2021204815630117e-26,-1.6079653733253536,2.61597040113334,-83.08406607112006,0.0,63.45010907141911,0.0,True
0.05,4.5,3.0,5.0,5.0,10.0,7.330480572857773e-30,9.226308655945325e-20,1.0,-8.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,5.0,10.0,-1.685450627811268e-26,0.5123140996718911,1.1312328683613102,-13.114126894167581,0.0,9.690659669688154,0.0,True
0.05,4.5,3.0,5.0,5.0,10.0,1.0840341713241444,-1.3357149879826117e-24,0.236165445011024,12.442337377469139,0.0,-19.715640407814508,0.0,True
0.05,4.5,3.0,5.0,5.0,12.0,4.597570935444595e-30,7.325569100450936e-20,1.0,-8.0,0.0,-8.12,0.0,False
0.05,4.5,3.0,5.0,5.0,12.0,2.9111444994382452e-18,0.5259785668241678,1.1152722719826689,-12.9827797674592,0.0,9.472038170147393,0.0,True
0.05,4.5,3.0,5.0,5.0,12.0,1.130690901067454,-1.999073680037506e-20,0.3074997967151041,14.906619902434377,0.0,-20.126221570577727,0.0,True
0.05,4.5,3.0,7.0,1.0,8.0,-4.955325858545761e-18,0.3476502122487063,1.1057530863169993,-6.215392495637491,0.0,7.835401229014996,0.0,True
0.05,4.5,3.0,7.0,1.0,8.0,1.1918671422853304,-9.87897138039877e-24,0.5560789734814375,14.161153231375879,0.0,-19.265634843190306,0.0,True
0.05,4.5,3.0,7.0,1.0,8.0,-3.5679643334621824e-28,3.844643786420753e-19,1.0,-4.0,0.0,-6.119999999999999,0.0,False
0.05,4.5,3.0,7.0,1.0,8.0,2.5273486238425515e-25,-1.0466728820401574,1.958583606748468,-27.351143355596164,0.0,38.83670364814349,0.0,True
0.05,4.5,3.0,7.0,1.0,8.0,2.744834002074181,1.9891466023131068,2.1077056488875034,482.3793244517856,0.0,47.01378952593413,0.0,True
0.05,4.5,3.0,7.0,1.0,10.0,2.3937775909652625e-23,0.36331339931827683,1.0923976382869411,-6.220013422860799,0.0,7.592850730798269,0.0,True
0.05,4.5,3.0,7.0,1.0,10.0,1.2272181027948765,-2.5853849026868596e-18,0.623483932043136,15.330188309286344,0.0,-19.20935049557883,0.0,True
0.05,4.5,3.0,7.0,1.0,10.0,-5.727703617545487e-29,6.075283746651831e-20,1.0,-4.0,0.0,-6.119999999999998,0.0,False
0.05,4.5,3.0,7.0,1.0,10.0,-2.848498221315786e-22,-1.218358051935337,2.0390774399009683,-32.90033113981609,0.0,43.340404606947736,0.0,True
0.05,4.5,3.0,7.0,1.0,10.0,2.8149197297924964,2.1086928973442443,2.1316667434232794,472.30859170131464,0.0,47.51089477438617,0.0,True
0.05,4.5,3.0,7.0,1.0,12.0,-1.7075140812541682e-26,-1.3809945916235795,2.1125018695545865,-38.7529774360321,0.0,47.685894778775676,0.0,True
0.05,4.5,3.0,7.0,1.0,12.0,-3.845656237312007e-26,0.3752257558021022,1.082130047893401,-6.227128033492254,0.0,7.411472910614034,0.0,True
0.05,4.5,3.0,7.0,1.0,12.0,1.2533726328019306,1.7219842554462504e-25,0.6727202173631577,16.1729848675116,0.0,-19.142148860498594,0.0,True
0.05,4.5,3.0,7.0,1.0,12.0,-1.414822141847444e-29,1.770506753513877e-20,1.0,-4.0,0.0,-6.12,0.0,False
0.05,4.5,3.0,7.0,1.0,12.0,2.883303664261893,2.225288055015226,2.1566457036407485,473.8933199258969,0.0,48.113050130449466,0.0,True
0.05,4.5,3.0,7.0,3.0,8.0,1.5372412553184263e-23,0.34765021224870574,1.1057530863169989,-8.66077227143662,0.0,7.835401229014964,0.0,True
0.05,4.5,3.0,7.0,3.0,8.0,1.1057671023005222,-1.977166391203343e-19,0.3122195024518223,12.466025092965063,0.0,-19.590550050522204,0.0,True
0.05,4.5,3.0,7.0,3.0,8.0,2.1346748147232403e-18,-1.0466728820401574,1.958583606748468,-35.023242844843836,0.0,38.83670364814349,0.0,True
0.05,4.5,3.0,7.0,3.0,8.0,5.734599698600857e-27,4.854608566881154e-19,1.0,-6.0,0.0,-6.119999999999999,0.0,False
0.05,4.5,3.0,7.0,3.0,10.0,2.4360456161532387e-27,0.36331339931827683,1.0923976382869411,-8.606678623130572,0.0,7.592850730798269,0.0,True
0.05,4.5,3.0,7.0,3.0,10.0,1.1566887968972526,-1.8739365125787126e-19,0.39793196220957383,14.70679900131644,0.0,-19.83843556543981,0.0,True
0.05,4.5,3.0,7.0,3.0,10.0,6.052799563711462e-25,7.2452448449584e-18,1.0,-6.0,0.0,-6.119999999999998,0.0,False
0.05,4.5,3.0,7.0,3.0,12.0,-3.9752180128284074e-27,-1.3809945916235797,2.1125018695545874,-47.67830573377537,0.0,47.68589477877573,0.0,True
0.05,4.5,3.0,7.0,3.0,12.0,-7.67267070535751e-27,0.37522575580210216,1.082130047893401,-8.569138914599801,0.0,7.41147291061403,0.0,True
