rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
4.5,3.0,5.0,1.0,8.0,3.5147004393780447e-19,9.36270730583266e-21,1.0,-36.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,1.0,8.0,1.0606784671056921,4.9201644355921685e-23,0.6484253716932247,32.756665747608075,0.0,8.640800271374648,0.0,True
4.5,3.0,5.0,1.0,8.0,1.2072474940300661,0.5585897989422235,0.7395620672258603,41.64926160107183,0.0,-9.165032138877876,0.0,True
4.5,3.0,5.0,1.0,10.0,3.7527933927089233e-19,1.1075549554011361e-20,1.0,-36.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,1.0,10.0,1.0733107154168435,4.095420259387961e-23,0.7120010270428458,32.614689369335956,0.0,8.915551345352931,0.0,True
4.5,3.0,5.0,1.0,10.0,1.2234685804706324,0.5690061979924861,0.787665184827226,41.144133782056024,0.0,-9.558915927134876,0.0,True
4.5,3.0,5.0,1.0,12.0,3.9194910302771575e-19,1.2360666320182338e-20,1.0,-36.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,1.0,12.0,1.0827279745527723,2.9208412786089307e-23,0.755770861066844,32.45270924286071,0.0,9.117993750945573,0.0,True
4.5,3.0,5.0,1.0,12.0,1.2351747570350868,0.5763297211034055,0.8205531696744942,40.69470414098628,0.0,-9.853741063985623,0.0,True
4.5,3.0,5.0,3.0,8.0,1.552976379300073e-19,1.8060157835193815e-20,1.0,-38.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,3.0,8.0,1.0342055152950098,4.415406957557764e-22,0.39836066057502806,34.38109925231299,0.0,7.656406949449154,0.0,True
4.5,3.0,5.0,3.0,8.0,1.136727543321421,0.49263763548092476,0.42484830182577427,40.99607750327031,0.0,-8.341375247511234,0.0,True
4.5,3.0,5.0,3.0,10.0,1.5837943824256712e-19,1.861797241270649e-20,1.0,-38.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,3.0,10.0,1.0540659368003977,1.8292239269578836e-19,0.500025250394695,34.99040399483863,0.0,7.870454510292422,0.0,True
4.5,3.0,5.0,3.0,10.0,1.160790988011124,0.5021400906327433,0.5197262622788011,41.70837077870215,0.0,-8.612034033332353,0.0,True
4.5,3.0,5.0,3.0,12.0,1.6046508691541435e-19,1.8997161214347462e-20,1.0,-38.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,3.0,12.0,1.0705078491880056,1.46736858971668e-17,0.5702548543100763,35.16574397560705,0.0,8.041928721558222,0.0,True
4.5,3.0,5.0,3.0,12.0,1.1803857318617548,0.5094574312054176,0.5856531024274556,41.88398816879886,0.0,-8.83472270146781,0.0,True
4.5,3.0,5.0,5.0,8.0,9.291534189846476e-20,3.292339992777656e-20,1.0,-40.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,5.0,8.0,1.0086104559535132,1.4917027621677058e-18,0.17344777036476255,32.74048182123984,0.0,7.319244591848826,0.0,True
4.5,3.0,5.0,5.0,8.0,1.0968937789278808,0.4735992402504864,0.16260468089996594,37.10525362996452,0.0,-8.030770078752564,0.0,True
4.5,3.0,5.0,5.0,10.0,8.644399292697131e-20,3.0157609266399706e-20,1.0,-40.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,5.0,10.0,1.028116546434165,2.966256967277113e-23,0.3129346385163855,35.39702797219048,0.0,7.426052186564372,0.0,True
4.5,3.0,5.0,5.0,10.0,1.1176959107778406,0.4777676055691675,0.3021222456354684,40.5361569808387,0.0,-8.16403512349548,0.0,True
4.5,3.0,5.0,5.0,12.0,8.235291432923602e-20,2.843073160499531e-20,1.0,-40.49,0.0,18.119999999999997,0.0,True
4.5,3.0,5.0,5.0,12.0,1.047415888705345,2.371898902062337e-19,0.4057483095474458,36.5859251310978,0.0,7.525240196615463,0.0,True
4.5,3.0,5.0,5.0,12.0,1.1383862591681615,0.48152447397281717,0.3946523172721056,42.05138520061442,0.0,-8.295890050740446,0.0,True
4.5,3.0,7.0,1.0,8.0,2.785322334343791e-19,3.182700216663499e-22,1.0,-36.49,0.0,20.119999999999997,0.0,True
4.5,3.0,7.0,1.0,8.0,1.0606784671056921,8.630743280546083e-23,0.6484253716932247,32.756665747608075,0.0,9.48171119668564,0.0,True
4.5,3.0,7.0,1.0,8.0,1.286482115376954,0.6550531216252143,0.8582589452618324,49.27217400354184,0.0,-9.049855684930638,0.0,True
4.5,3.0,7.0,1.0,10.0,3.1251628651039537e-19,5.203811711848941e-22,1.0,-36.49,0.0,20.12,0.0,True
4.5,3.0,7.0,1.0,10.0,1.0733107154168435,6.4584661566254835e-24,0.7120010270428458,32.614689369335956,0.0,9.929442270373064,0.0,True
4.5,3.0,7.0,1.0,10.0,1.3006658849604797,0.6658322009768465,0.8873998278253632,47.67863057330146,0.0,-9.81243507455039,0.0,True
4.5,3.0,7.0,1.0,12.0,3.3731083796356484e-19,7.1053206604235875e-22,1.0,-36.49,0.0,20.119999999999997,0.0,True
4.5,3.0,7.0,1.0,12.0,1.0827279745527723,-1.0291187265704957e-17,0.755770861066844,32.45270924286071,0.0,10.260372939821009,0.0,True
4.5,3.0,7.0,1.0,12.0,1.310256591356534,0.672975505311544,0.9065284481051823,46.462455431493055,0.0,-10.382912674565679,0.0,True
4.5,3.0,7.0,3.0,8.0,1.0742822089894622e-19,9.222060903765797e-22,1.0,-38.49,0.0,20.119999999999997,0.0,True
4.5,3.0,7.0,3.0,8.0,1.0342055152950098,1.7890334020365627e-19,0.39836066057502806,34.38109925231299,0.0,7.973789381236699,0.0,True
4.5,3.0,7.0,3.0,8.0,1.160783787098053,0.5227353593848052,0.481172536238061,44.304661670194044,0.0,-8.378428278663907,0.0,True
4.5,3.0,7.0,3.0,10.0,1.1830112877239218e-19,1.1751675293900324e-21,1.0,-38.49,0.0,20.12,0.0,True
4.5,3.0,7.0,3.0,10.0,1.0540659368003977,4.983080921723e-18,0.500025250394695,34.99040399483863,0.0,8.370505012356977,0.0,True
4.5,3.0,7.0,3.0,10.0,1.1896496402176997,0.5411684246781183,0.5681344647964713,44.988565998444074,0.0,-8.875927286007839,0.0,True
4.5,3.0,7.0,3.0,12.0,1.261128140666027e-19,1.3755467063921713e-21,1.0,-38.49,0.0,20.119999999999997,0.0,True
4.5,3.0,7.0,3.0,12.0,1.0705078491880056,2.902005518517545e-17,0.5702548543100763,35.16574397560705,0.0,8.692309919286634,0.0,True
4.5,3.0,7.0,3.0,12.0,1.21255813358861,0.5550891118614625,0.6283774943130425,45.107521242384216,0.0,-9.29289529693882,0.0,True
4.5,3.0,7.0,3.0,12.0,2.4785602942675142,-1.6779737572601872,0.3387080345782906,130.691835874289,0.0,-37.98075020931843,0.0,True
4.5,3.0,7.0,5.0,8.0,5.722010416666918e-20,2.3390704279760964e-21,1.0,-40.49,0.0,20.119999999999997,0.0,True
4.5,3.0,7.0,5.0,8.0,1.0086104559535132,2.2599782469508605e-24,0.17344777036476255,32.74048182123984,0.0,7.379412849937841,0.0,True
4.5,3.0,7.0,5.0,8.0,1.1044693407281108,0.4796567778513679,0.21018162022709708,39.429575047147,0.0,-7.996131591442366,0.0,True
4.5,3.0,7.0,5.0,10.0,5.865963996278797e-20,2.4440473924298987e-21,1.0,-40.49,0.0,20.12,0.0,True
4.5,3.0,7.0,5.0,10.0,1.028116546434165,5.320774585982638e-20,0.3129346385163855,35.39702797219048,0.0,7.6219083625311335,0.0,True
4.5,3.0,7.0,5.0,10.0,1.1302288993499456,0.49170580905846095,0.33892093466152173,42.73833258683369,0.0,-8.267805067262646,0.0,True
4.5,3.0,7.0,5.0,12.0,5.963928272537288e-20,2.5161641728609897e-21,1.0,-40.49,0.0,20.119999999999997,0.0,True
4.5,3.0,7.0,5.0,12.0,1.047415888705345,2.7668964015230324e-17,0.4057483095474458,36.5859251310978,0.0,7.854503578016683,0.0,True
4.5,3.0,7.0,5.0,12.0,1.1543779737934312,0.5023721762686395,0.4254016110796618,44.24702707231078,0.0,-8.551415412723292,0.0,True
4.5,3.0,9.0,1.0,8.0,2.2406859072118213e-19,3.766613311381187e-24,1.0,-36.49,0.0,22.119999999999997,0.0,True
4.5,3.0,9.0,1.0,8.0,1.0606784671056921,1.01823928436401e-22,0.6484253716932247,32.756665747608075,0.0,10.322622121996634,0.0,True
4.5,3.0,9.0,1.0,8.0,1.4932235527821554,0.8446492654997568,1.1058249986156379,76.41254361324613,0.0,-8.047350122416638,0.0,True
