a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable,max_real
0.6,5.5,3.0,9.0,1.0,12.0,5.105306266407178e-19,0.24883355495125037,1.0464386035522577,-5.058757797261256,0.0,5.014121549237496,0.0,True,5.014121549237496
0.4,6.5,3.0,9.0,1.0,12.0,1.5032960578071778e-23,0.24883355495125045,1.0464386035522577,-5.058757797261257,0.0,5.014121549237499,0.0,True,5.014121549237499
0.6,5.0,3.0,9.0,1.0,12.0,1.4730583890417476e-19,0.24883355495125045,1.0464386035522577,-5.058757797261257,0.0,5.014121549237499,0.0,True,5.014121549237499
0.6,6.5,3.0,9.0,1.0,12.0,5.086351732863255e-18,0.24883355495125045,1.0464386035522577,-5.058757797261257,0.0,5.014121549237499,0.0,True,5.014121549237499
0.6,6.5,5.0,9.0,1.0,12.0,2.983293505985896e-19,0.24883355495125048,1.0464386035522577,-7.248825299270055,0.0,5.0141215492375,0.0,True,5.0141215492375
0.4,5.5,3.0,9.0,1.0,12.0,3.720852081914995e-24,0.2488335549512505,1.0464386035522577,-5.058757797261257,0.0,5.014121549237501,0.0,True,5.014121549237501
0.05,4.5,7.0,9.0,1.0,12.0,1.5308859394304762e-22,0.2488335549512505,1.0464386035522577,-9.438892801278854,0.0,5.014121549237501,0.0,True,5.014121549237501
0.6,4.5,5.0,9.0,1.0,12.0,1.3881177968780914e-20,0.2488335549512505,1.0464386035522577,-7.248825299270055,0.0,5.014121549237501,0.0,True,5.014121549237501
0.6,5.0,5.0,9.0,1.0,12.0,3.529072742910832e-20,0.24883355495125054,1.0464386035522577,-7.248825299270055,0.0,5.014121549237503,0.0,True,5.014121549237503
0.6,4.5,3.0,9.0,1.0,12.0,4.05031357810709e-20,0.24883355495125054,1.0464386035522577,-5.058757797261257,0.0,5.014121549237503,0.0,True,5.014121549237503
