a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,max_real
0.1,3.0,7.0,3.0,0.5,12.0,3.1936593522593e-18,2.009105654451363e-17,1.0,-7.2999999670000015,0.0,16.119999868799997,0.0,16.119999868799997
0.1,3.0,7.0,3.0,5.0,10.0,3.4224447917895495e-18,2.0051302244274332e-17,1.0,-7.299999967000001,0.0,16.119999868799997,0.0,16.119999868799997
0.1,3.0,7.0,3.0,7.0,6.0,3.69041667206858e-18,2.0002161098443782e-17,1.0,-7.299999966999998,0.0,16.119999868799997,0.0,16.119999868799997
0.1,4.0,7.0,3.0,1.0,14.0,8.947093216561417e-18,2.0084869233531734e-17,1.0,-7.399999956,0.0,16.119999868799997,0.0,16.119999868799997
0.1,4.0,7.0,3.0,7.0,14.0,9.356008298015781e-18,2.004252751233637e-17,1.0,-7.399999956,0.0,16.119999868799997,0.0,16.119999868799997
